id,Name,Artist,Album,Genre,Comments,Location,Grouping
21f32d06-c3e0-4ae3-9086-37ca1dcf7f09,Yes I Know,Session Victim,Glow in the Dark,House,"Rhythmic, Progressive, Funk, Groover, Skip, Mover, Lounge",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%20Yes%20I%20Know.mp3,
5e5ddec5-e349-4cf4-90d9-d02d0e4b273e,Our Sunshine Suite,Problem Kids,,House,"Progressive, Funk, Summer, Builder",file:///Users/renier.botha/Music/DJ/Files/2022/House/Our%20Sunshine%20Suite.mp3,
63b7fa75-c17b-4929-9125-422c3919f7d0,Dancer,Local Artist,Dancer / Dreamer EP,House,"Progressive, Funk, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%20Dancer.mp3,
d6a1f752-6752-4642-b752-c859f94bcf4d,Now,Bernard Badie feat. Dajae,,House,"Lo-fi, Mover, Rhythmic, Rave",file:///Users/renier.botha/Music/DJ/Files/2022/House/03%20Now.mp3,
c4a325a9-86c2-4bea-bade-9e97766e0689,Barnabeats (Octave One Mix),Funk D'void,Nite:life 05,House,Mover,file:///Users/renier.botha/Music/DJ/Files/2022/House/1-08%20Barnabeats%20(Octave%20One%20Mix).mp3,
7a17bd04-0c33-46d4-aae8-b90251f9f2c6,Good Vibrations (Kasha's Instrument Mix),Traumprinz,Traumprinz 06,Techno,"Rhythmic, House, Groover, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/Techno/02%20Good%20Vibrations%20(Kasha's%20Instrument%20Mix).mp3,
29f46b86-3b1c-4af4-be9d-1f86a76fd51d,The Birds Rejoice,Nu Guinea,The Tony Allen Experiments,House,"Lo-fi, Funk, Space, Synth, Intro, Groover, Rhythmic",file:///Users/renier.botha/Music/DJ/Files/2022/House/07%20The%20Birds%20Rejoice.mp3,
c66e45b7-9261-4b8f-8eca-2601da996c2e,Close To Me,Paolo Di Nicolantonio,Close To Me EP,House,"Rhythmic, Lo-fi, Summer, Groover",file:///Users/renier.botha/Music/DJ/Files/2022/House/02%20Close%20To%20Me.mp3,
3a4869f2-2b70-4f95-9f98-f06b47e7f18c,Underground,Glenn Aitken,,House,"Detroit, Spoken, Groover, Mover",file:///Users/renier.botha/Music/DJ/Files/2022/House/Underground.mp3,
dd3d869f-aede-4087-bb56-a56b31f18402,Le disco chic (Original Mix),French House Mafia,Le disco chic - Single,House,"Soul, Groover, Dancefloor",file:///Users/renier.botha/Music/DJ/Files/2022/House/01%20Le%20disco%20chic%20(Original%20Mix).mp3,
